Source,Kind,Value
Anomali,domain,sbc.gold-ichiba.com
Anomali,domain,sato-transport.net
Anomali,domain,ilovealtona.org
Anomali,domain,images.cjp.mx
Anomali,domain,kantarellstigen1.se
Anomali,domain,kalendarze.merkuriusz.pl
Anomali,domain,inprojexautomotive.com
Anomali,domain,heatherwoodpta.org
Anomali,domain,junkwize.passionstaging.co.uk
Anomali,domain,karlshamnsfotoklubb.se
Anomali,domain,ippm.dk
Anomali,domain,keltek.co.uk
Anomali,domain,www.inerino.co.za
public,hash_sha256,6ff7a60c7cd8ffed318700dff453d3679adf27b11505f875d54e8afc33bb8465
public,hash_sha256,95dbd3f273d621fa71631882d00bef71f902a4cc536ee150ec748aae4f47e4d5
public,domain,63factory.jp
public,domain,contentstudent.com
public,domain,facebook.net
public,ip,199.232.36.84
